rank,model_id,name,overall_score,pass_at_k,pass_k,mean_pass_rate,num_scenarios,elapsed_seconds,output
1,qwen/qwen3.7-plus,OpenRouter Qwen3.7 Plus,64.14,0.1,0.1,0.1,10,237.0,data/openvoicecs/reports/openrouter_batch_20260613/qwen_qwen3_7_plus_max10_native.json
2,qwen/qwen3.7-max,OpenRouter Qwen3.7 Max,63.37,0.1,0.1,0.1,10,274.9,data/openvoicecs/reports/openrouter_batch_20260613/qwen_qwen3_7_max_max10_native.json
3,deepseek/deepseek-v3.2,OpenRouter DeepSeek V3.2,62.37,0.1,0.1,0.1,10,207.4,data/openvoicecs/reports/openrouter_batch_20260613/deepseek_deepseek_v3_2_max10_native.json
4,z-ai/glm-5.1,OpenRouter GLM 5.1,61.63,0.1,0.1,0.1,10,159.3,data/openvoicecs/reports/openrouter_batch_20260613/z_ai_glm_5_1_max10_native.json
5,anthropic/claude-haiku-4.5,OpenRouter Claude Haiku 4.5,61.14,0.1,0.1,0.1,10,58.6,data/openvoicecs/reports/openrouter_batch_20260613/anthropic_claude_haiku_4_5_max10_native.json
6,openai/gpt-4.1-mini,OpenRouter GPT-4.1 Mini,61.14,0.1,0.1,0.1,10,46.3,data/openvoicecs/reports/openrouter_batch_20260613/openai_gpt_4_1_mini_max10_native.json
7,google/gemini-3-flash-preview,OpenRouter Gemini 3 Flash Preview,60.14,0.1,0.1,0.1,10,45.8,data/openvoicecs/reports/openrouter_batch_20260613/google_gemini_3_flash_preview_max10_native.json
8,mistralai/mistral-medium-3-5,OpenRouter Mistral Medium 3.5,60.14,0.1,0.1,0.1,10,26.4,data/openvoicecs/reports/openrouter_batch_20260613/mistralai_mistral_medium_3_5_max10_native.json
9,minimax/minimax-m2.7,OpenRouter MiniMax M2.7,59.14,0.1,0.1,0.1,10,118.0,data/openvoicecs/reports/openrouter_batch_20260613/minimax_minimax_m2_7_max10_native.json
10,google/gemini-3.1-flash-lite,OpenRouter Gemini 3.1 Flash Lite,58.14,0.1,0.1,0.1,10,44.0,data/openvoicecs/reports/openrouter_batch_20260613/google_gemini_3_1_flash_lite_max10_native.json
11,anthropic/claude-sonnet-4.6,OpenRouter Claude Sonnet 4.6,57.94,0.1,0.1,0.1,10,129.0,data/openvoicecs/reports/openrouter_batch_20260613/anthropic_claude_sonnet_4_6_max10_native.json
12,qwen/qwen3.6-flash,OpenRouter Qwen3.6 Flash,56.47,0.1,0.1,0.1,10,155.4,data/openvoicecs/reports/openrouter_batch_20260613/qwen_qwen3_6_flash_max10_native.json
13,x-ai/grok-4.3,OpenRouter Grok 4.3,56.44,0.1,0.1,0.1,10,73.5,data/openvoicecs/reports/openrouter_batch_20260613/x_ai_grok_4_3_max10_native.json
14,mistralai/mistral-small-2603,OpenRouter Mistral Small 4,56.14,0.1,0.1,0.1,10,18.8,data/openvoicecs/reports/openrouter_batch_20260613/mistralai_mistral_small_2603_max10_native.json
15,minimax/minimax-m3,OpenRouter MiniMax M3,54.44,0.1,0.1,0.1,10,157.2,data/openvoicecs/reports/openrouter_batch_20260613/minimax_minimax_m3_max10_native.json
16,moonshotai/kimi-k2.7-code,OpenRouter Kimi K2.7 Code,52.14,0.1,0.1,0.1,10,180.0,data/openvoicecs/reports/openrouter_batch_20260613/moonshotai_kimi_k2_7_code_max10_native.json
17,openai/gpt-5.4-nano,OpenRouter GPT-5.4 Nano,49.72,0.1,0.1,0.1,10,62.0,data/openvoicecs/reports/openrouter_batch_20260613/openai_gpt_5_4_nano_max10_native.json
18,openai/gpt-5.4-mini,OpenRouter GPT-5.4 Mini,48.69,0.1,0.1,0.1,10,35.4,data/openvoicecs/reports/openrouter_batch_20260613/openai_gpt_5_4_mini_max10_native.json
19,deepseek/deepseek-v4-flash,OpenRouter DeepSeek V4 Flash,45.97,0.1,0.1,0.1,10,308.5,data/openvoicecs/reports/openrouter_batch_20260613/deepseek_deepseek_v4_flash_max10_native.json
20,moonshotai/kimi-k2.6,OpenRouter Kimi K2.6,41.95,0.1,0.1,0.1,10,209.1,data/openvoicecs/reports/openrouter_batch_20260613/moonshotai_kimi_k2_6_max10_native.json
21,google/gemini-3.5-flash,OpenRouter Gemini 3.5 Flash,40.95,0.1,0.1,0.1,10,122.4,data/openvoicecs/reports/openrouter_batch_20260613/google_gemini_3_5_flash_max10_native.json
22,openai/gpt-4o-mini,OpenRouter GPT-4o Mini,22.3,0.1,0.1,0.1,10,80.3,data/openvoicecs/reports/openrouter_batch_20260613/openai_gpt_4o_mini_max10_native.json
23,meta-llama/llama-4-maverick,OpenRouter Llama 4 Maverick,18.65,0.0,0.0,0.0,10,27.8,data/openvoicecs/reports/openrouter_batch_20260613/meta_llama_llama_4_maverick_max10_native.json
24,cohere/command-a,OpenRouter Command A,0.0,0.0,0.0,0.0,10,1.1,data/openvoicecs/reports/openrouter_batch_20260613/cohere_command_a_max10_native.json
