model_id,path,overall_score,task_success,tool_correctness,safety,pass_at_k,pass_k,mean_pass_rate,conversation_experience_score,median_latency_ms,avg_tool_calls,num_trials,adapter_error_trials
anthropic/claude-opus-4.8,data/openvoicecs/runs/openrouter_top50_text_action_3trial_jsontrace_20260615/reports/anthropic_claude_opus_4_8.json,63.38,0.0625,0.3828,0.0417,0.0469,0.0156,0.026,,3392.114,2.22,192,0
anthropic/claude-opus-4.7,data/openvoicecs/runs/openrouter_top50_text_action_3trial_jsontrace_20260615/reports/anthropic_claude_opus_4_7.json,59.17,0.0625,0.3828,0.0469,0.0469,0.0156,0.0312,,3623.142,2.2,192,0
anthropic/claude-sonnet-4.6,data/openvoicecs/runs/openrouter_top50_text_action_3trial_jsontrace_20260615/reports/anthropic_claude_sonnet_4_6.json,46.94,0.0417,0.3646,0.0729,0.0156,0.0156,0.0156,,3700.567,1.98,192,0
tencent/hy3-preview,data/openvoicecs/runs/openrouter_top50_text_action_3trial_jsontrace_20260615/reports/tencent_hy3_preview.json,32.4,0.0156,0.2274,0.6406,0.0156,0.0,0.0104,,6382.773,1.04,192,68
openrouter/owl-alpha,data/openvoicecs/runs/openrouter_top50_text_action_3trial_jsontrace_20260615/reports/openrouter_owl_alpha.json,38.38,0.0052,0.2647,0.7292,0.0,0.0,0.0,,6493.601,1.04,192,39
google/gemini-3-flash-preview,data/openvoicecs/runs/openrouter_top50_text_action_3trial_jsontrace_20260615/reports/google_gemini_3_flash_preview.json,48.62,0.0,0.3385,0.9688,0.0,0.0,0.0,,1614.146,1.0,192,0
deepseek/deepseek-v3.2,data/openvoicecs/runs/openrouter_top50_text_action_3trial_jsontrace_20260615/reports/deepseek_deepseek_v3_2.json,48.6,0.0,0.3385,0.9635,0.0,0.0,0.0,,3544.477,1.02,192,0
z-ai/glm-5.1,data/openvoicecs/runs/openrouter_top50_text_action_3trial_jsontrace_20260615/reports/z_ai_glm_5_1.json,48.47,0.0,0.3368,0.9583,0.0,0.0,0.0,,4799.432,1.0,192,1
google/gemini-2.5-flash,data/openvoicecs/runs/openrouter_top50_text_action_3trial_jsontrace_20260615/reports/google_gemini_2_5_flash.json,48.03,0.0,0.3402,0.9583,0.0,0.0,0.0,,1003.014,1.01,192,0
google/gemini-2.5-flash-lite,data/openvoicecs/runs/openrouter_top50_text_action_3trial_jsontrace_20260615/reports/google_gemini_2_5_flash_lite.json,47.96,0.0,0.3385,0.9688,0.0,0.0,0.0,,721.956,1.0,192,0
deepseek/deepseek-v4-flash,data/openvoicecs/runs/openrouter_top50_text_action_3trial_jsontrace_20260615/reports/deepseek_deepseek_v4_flash.json,43.2,0.0,0.3038,0.7917,0.0,0.0,0.0,,6382.022,1.09,192,19
minimax/minimax-m3,data/openvoicecs/runs/openrouter_top50_text_action_3trial_jsontrace_20260615/reports/minimax_minimax_m3.json,32.5,0.0,0.2265,0.6302,0.0,0.0,0.0,,5636.391,1.03,192,62
deepseek/deepseek-v4-pro,data/openvoicecs/runs/openrouter_top50_text_action_3trial_jsontrace_20260615/reports/deepseek_deepseek_v4_pro.json,28.0,0.0,0.2014,0.5573,0.0,0.0,0.0,,10716.477,1.01,192,79
stepfun/step-3.7-flash,data/openvoicecs/runs/openrouter_top50_text_action_3trial_jsontrace_20260615/reports/stepfun_step_3_7_flash.json,13.99,0.0,0.0976,0.2865,0.0,0.0,0.0,,4143.073,1.0,192,136
xiaomi/mimo-v2.5,data/openvoicecs/runs/openrouter_top50_text_action_3trial_jsontrace_20260615/reports/xiaomi_mimo_v2_5.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,192,192
