model_id,overall_score,task_success,tool_correctness,sop_compliance,privacy,auth_integrity,safety,factual_grounding,experience_proxy,pass_at_k,mean_pass_rate,trial_coverage,scored_trials,infrastructure_error_trials,measured_scenarios,median_latency_ms,avg_tool_calls,avg_tokens_to_completion,avg_tokens_to_success,avg_tokens_to_failure,tokens_per_success,total_cost_usd
anthropic/claude-fable-5,88.87,0.7536,0.9122,0.9114,0.9952,0.9758,0.8889,0.913,0.6248,0.7826,0.6087,1.0,207,0,69,20108.005,3.43,7368.04,8549.72,3681.2,9729.6,
anthropic/claude-opus-4.6,81.03,0.4251,0.8076,0.913,1.0,0.971,0.8889,0.9372,0.62,0.3043,0.2464,1.0,207,0,69,11289.844,3.2,5759.89,9829.65,2750.33,13548.84,
google/gemini-3.1-pro-preview,77.09,0.3865,0.7931,0.9066,1.0,0.971,0.8841,0.7971,0.628,0.3478,0.1836,1.0,207,0,69,9059.469,3.04,6140.41,11097.9,3017.58,15888.31,
deepseek/deepseek-v3.2,76.42,0.2222,0.7384,0.9179,1.0,0.9855,0.913,0.9517,0.6345,0.1449,0.0918,1.0,207,0,69,8184.578,3.26,5219.51,15097.07,2397.35,23487.8,
google/gemini-3.5-flash,75.57,0.2271,0.74,0.9082,1.0,0.971,0.8937,0.9227,0.628,0.1304,0.0725,1.0,207,0,69,4238.075,2.88,5661.15,15231.15,2849.97,24933.17,
anthropic/claude-opus-4.7,75.36,0.2947,0.7625,0.913,0.9952,0.9807,0.9082,0.8164,0.628,0.1739,0.1449,1.0,207,0,69,6462.71,2.96,6669.4,14537.0,3382.25,22632.21,
anthropic/claude-sonnet-4.5,75.16,0.1884,0.7271,0.913,1.0,0.971,0.8986,0.9469,0.628,0.0435,0.0338,1.0,207,0,69,6318.414,2.88,5231.47,16055.82,2718.67,27767.03,
openai/gpt-5.5,75.04,0.2077,0.7335,0.9082,1.0,0.9758,0.8986,0.9179,0.628,0.1014,0.0483,1.0,207,0,69,5015.461,2.87,4473.59,12735.16,2307.45,21535.67,
anthropic/claude-haiku-4.5,74.86,0.1884,0.7271,0.9147,1.0,0.9758,0.9034,0.9275,0.6264,0.0435,0.0338,1.0,207,0,69,3699.846,2.86,5359.68,16701.03,2726.87,28447.54,
minimax/minimax-m2.5,74.6,0.1836,0.7202,0.9163,1.0,0.9855,0.9082,0.9179,0.6297,0.0435,0.0386,1.0,207,0,69,8278.212,2.88,5493.86,18103.45,2658.57,29927.11,
minimax/minimax-m2.7,74.16,0.2367,0.7307,0.9074,0.9903,0.971,0.9034,0.8551,0.6232,0.2174,0.1014,1.0,207,0,69,9110.251,2.98,5168.96,12592.51,2837.2,21625.22,
z-ai/glm-5.1,74.06,0.1932,0.7239,0.9066,0.9952,0.971,0.8889,0.8986,0.6361,0.058,0.0531,1.0,207,0,69,8393.411,2.92,4911.32,15178.5,2437.3,25293.28,
z-ai/glm-5,73.58,0.1787,0.709,0.905,0.9952,0.9662,0.9082,0.9034,0.628,0.058,0.0386,1.0,207,0,69,10959.651,2.87,5045.71,16647.24,2505.73,28092.35,
openai/gpt-5.3-codex,73.48,0.1884,0.7158,0.8905,1.0,0.9517,0.8889,0.9034,0.6313,0.0435,0.0242,1.0,207,0,69,4819.035,2.87,4671.04,14599.0,2366.34,24792.46,
qwen/qwen3.7-max,73.46,0.1912,0.728,0.9101,1.0,0.9706,0.8873,0.8627,0.6275,0.0147,0.0147,0.9855,204,3,68,13673.758,2.86,5967.94,18697.26,2959.19,31216.9,
qwen/qwen3.7-plus,73.21,0.1932,0.7287,0.905,1.0,0.9807,0.8986,0.8454,0.628,0.0725,0.0338,1.0,207,0,69,11326.361,2.86,5821.12,17933.65,2919.91,30124.28,
google/gemma-4-26b-a4b-it,73.06,0.1884,0.7271,0.9034,1.0,0.971,0.8986,0.8454,0.678,0.029,0.029,1.0,207,0,69,4221.33,2.87,5202.22,15736.46,2756.77,27611.79,
z-ai/glm-4.5-air,72.93,0.1787,0.7118,0.9042,0.9807,0.9662,0.8986,0.8792,0.6168,0.029,0.0242,1.0,207,0,69,10916.135,3.0,5417.07,17527.46,2717.77,29720.68,
google/gemini-3-flash-preview,72.78,0.2271,0.74,0.9082,1.0,0.971,0.8986,0.7826,0.628,0.087,0.058,1.0,207,0,69,4072.772,2.92,5079.28,13340.98,2652.41,22370.45,
google/gemini-2.5-flash-lite,72.77,0.1884,0.7214,0.901,1.0,0.9662,0.8986,0.8309,0.773,0.029,0.029,1.0,207,0,69,2903.767,3.15,5491.11,17962.05,2596.07,29145.1,
anthropic/claude-sonnet-4.6,72.3,0.1884,0.7271,0.913,1.0,0.9855,0.8986,0.7971,0.62,0.029,0.029,1.0,207,0,69,6187.316,2.93,5410.19,16998.36,2720.08,28715.64,
deepseek/deepseek-v4-flash,72.17,0.1884,0.7239,0.9002,0.9952,0.9662,0.8986,0.8164,0.6297,0.0435,0.029,1.0,207,0,69,11006.298,2.83,4791.07,14687.1,2480.02,25306.67,
