model_id,path,overall_score,task_success,tool_correctness,safety,pass_at_k,pass_k,mean_pass_rate,conversation_experience_score,median_latency_ms,avg_tool_calls,num_trials,adapter_error_trials
anthropic/claude-fable-5,data/openvoicecs/runs/openrouter_top50_text_action_3trial_v02/reports/anthropic_claude_fable_5.json,89.1,0.7536,0.9122,0.9324,0.7826,0.3623,0.6087,,20108.005,2.78,207,1
anthropic/claude-opus-4.6,data/openvoicecs/runs/openrouter_top50_text_action_3trial_v02/reports/anthropic_claude_opus_4_6.json,81.11,0.4251,0.8076,0.9179,0.3043,0.2174,0.2464,,11289.844,2.49,207,0
google/gemini-3.1-pro-preview,data/openvoicecs/runs/openrouter_top50_text_action_3trial_v02/reports/google_gemini_3_1_pro_preview.json,77.26,0.3865,0.7931,0.9275,0.3478,0.029,0.1836,,9059.469,2.37,207,0
poolside/laguna-m.1:free,data/openvoicecs/runs/openrouter_top50_text_action_3trial_v02/reports/poolside_laguna_m_1_free.json,81.85,0.3636,0.7879,1.0,0.2727,0.1818,0.2424,,82409.972,2.4,207,192
anthropic/claude-opus-4.7,data/openvoicecs/runs/openrouter_top50_text_action_3trial_v02/reports/anthropic_claude_opus_4_7.json,75.56,0.2947,0.7625,0.9614,0.1739,0.087,0.1449,,6462.71,2.29,207,0
minimax/minimax-m2.7,data/openvoicecs/runs/openrouter_top50_text_action_3trial_v02/reports/minimax_minimax_m2_7.json,74.32,0.2367,0.7307,0.942,0.2174,0.029,0.1014,,9110.251,2.26,207,2
moonshotai/kimi-k2.5,data/openvoicecs/runs/openrouter_top50_text_action_3trial_v02/reports/moonshotai_kimi_k2_5.json,72.02,0.2367,0.7279,0.9227,0.1884,0.0145,0.0821,,15990.336,2.24,207,5
google/gemini-3-flash-preview,data/openvoicecs/runs/openrouter_top50_text_action_3trial_v02/reports/google_gemini_3_flash_preview.json,73.01,0.2271,0.74,0.9565,0.087,0.0435,0.058,,4072.772,2.25,207,0
google/gemini-3.5-flash,data/openvoicecs/runs/openrouter_top50_text_action_3trial_v02/reports/google_gemini_3_5_flash.json,75.75,0.2271,0.74,0.9372,0.1304,0.029,0.0725,,4238.075,2.21,207,0
moonshotai/kimi-k2.6,data/openvoicecs/runs/openrouter_top50_text_action_3trial_v02/reports/moonshotai_kimi_k2_6.json,65.71,0.2271,0.6586,0.8502,0.3478,0.0145,0.1304,,11702.228,2.25,207,26
deepseek/deepseek-v3.2,data/openvoicecs/runs/openrouter_top50_text_action_3trial_v02/reports/deepseek_deepseek_v3_2.json,76.58,0.2222,0.7384,0.9565,0.1449,0.058,0.0918,,8184.578,2.35,207,0
openai/gpt-5.5,data/openvoicecs/runs/openrouter_top50_text_action_3trial_v02/reports/openai_gpt_5_5.json,75.27,0.2077,0.7335,0.9565,0.1014,0.0145,0.0483,,5015.461,2.21,207,0
z-ai/glm-5.1,data/openvoicecs/runs/openrouter_top50_text_action_3trial_v02/reports/z_ai_glm_5_1.json,74.15,0.1932,0.7239,0.9179,0.058,0.0435,0.0531,,8393.411,2.22,207,1
qwen/qwen3.7-plus,data/openvoicecs/runs/openrouter_top50_text_action_3trial_v02/reports/qwen_qwen3_7_plus.json,73.39,0.1932,0.7287,0.9469,0.0725,0.0145,0.0338,,11326.361,2.2,207,0
qwen/qwen3.7-max,data/openvoicecs/runs/openrouter_top50_text_action_3trial_v02/reports/qwen_qwen3_7_max.json,73.6,0.1912,0.728,0.9265,0.0147,0.0147,0.0147,,13673.758,2.18,207,3
anthropic/claude-sonnet-4.5,data/openvoicecs/runs/openrouter_top50_text_action_3trial_v02/reports/anthropic_claude_sonnet_4_5.json,75.34,0.1884,0.7271,0.9565,0.0435,0.029,0.0338,,6318.414,2.22,207,0
anthropic/claude-haiku-4.5,data/openvoicecs/runs/openrouter_top50_text_action_3trial_v02/reports/anthropic_claude_haiku_4_5.json,75.06,0.1884,0.7271,0.9662,0.0435,0.029,0.0338,,3699.846,2.19,207,0
google/gemma-4-26b-a4b-it,data/openvoicecs/runs/openrouter_top50_text_action_3trial_v02/reports/google_gemma_4_26b_a4b_it.json,73.26,0.1884,0.7271,0.9517,0.029,0.029,0.029,,4192.021,2.2,207,0
google/gemini-2.5-flash-lite,data/openvoicecs/runs/openrouter_top50_text_action_3trial_v02/reports/google_gemini_2_5_flash_lite.json,72.96,0.1884,0.7214,0.942,0.029,0.029,0.029,,2903.767,2.26,207,0
